,0
0,5473.0
1,11481.000000000005
2,2466.0000000000073
3,1425.0000000000116
4,3397.0000000000095
5,8762.000000000007
6,1089.999999999995
7,13367.000000000005
8,637.0000000000197
9,2377.0000000000086
10,9074.000000000005
11,23185.0
12,2560.000000000014
13,77657.99999999996
14,754.0000000000149
15,1797.999999999997
16,4537.000000000004
17,5964.999999999997
18,3542.0000000000055
19,397.0000000000049
20,349.0000000000041
21,904.0000000000073
22,3298.0000000000136
23,10779.0
24,878.0000000000186
25,57285.99999999997
26,1017.000000000014
27,4921.000000000002
28,1154.0000000000018
29,3419.000000000018
30,10415.000000000013
31,911.0000000000047
32,2121.000000000003
33,9135.000000000007
34,3014.000000000004
35,16829.999999999993
36,16787.0
37,15171.999999999996
38,3191.0000000000027
39,3569.000000000016
40,10006.000000000005
41,1133.000000000005
42,4760.000000000006
43,1037.000000000011
44,8219.000000000002
45,2722.0000000000055
46,1537.0000000000168
47,4085.0000000000196
48,3337.0000000000136
49,3210.0000000000027
50,511.99999999999613
51,8840.999999999996
52,1145.9999999999955
53,116.00000000001529
54,412.0000000000035
55,1135.0000000000075
56,1708.000000000023
57,2982.000000000005
58,160131.99999999988
59,523.0000000000081
60,13699.000000000011
61,1549.0000000000082
62,13097.000000000004
63,11247.0
64,4008.999999999999
65,3753.0000000000077
66,153501.99999999988
67,9311.0
68,15949.999999999996
69,61690.99999999997
70,376.9999999999945
71,157226.99999999988
72,60612.99999999997
73,66478.99999999996
74,9030.000000000007
75,741.9999999999999
76,12950.999999999993
77,61379.99999999997
78,9767.000000000002
79,4324.0
80,8985.000000000002
81,56760.99999999998
82,19606.999999999993
83,1711.0000000000057
84,70976.99999999996
85,21500.999999999993
86,10825.999999999998
87,3394.0
88,456.0000000000055
89,43477.99999999998
90,1620.0000000000032
91,3823.0000000000005
92,959.0000000000102
93,54306.99999999997
94,4814.000000000003
95,361.0000000000084
96,1912.0000000000027
97,22883.999999999993
98,37540.99999999999
99,10519.000000000004
100,40411.99999999999
101,9280.0
102,914.0000000000097
103,4897.000000000008
104,4072.0000000000036
105,9488.000000000005
106,22832.999999999993
107,535.9999999999956
108,1046.0000000000032
109,9071.000000000004
110,8883.000000000005
111,634.0000000000022
112,12548.0
113,3465.0000000000036
114,3545.000000000026
115,19985.999999999993
116,2961.000000000018
117,5034.000000000003
118,49814.99999999998
119,13527.999999999993
120,2289.0000000000027
121,301.0000000000032
122,869.0000000000084
123,1367.0000000000157
124,16340.99999999999
125,172725.99999999988
126,7442.00000000001
127,5770.000000000001
128,3689.000000000007
129,4652.000000000003
130,14886.999999999989
131,61847.99999999997
132,3783.0000000000036
133,1549.9999999999975
134,1194.0000000000011
135,21336.999999999993
136,9596.000000000007
137,3555.000000000001
138,2480.000000000008
139,910.0000000000108
140,2397.000000000009
141,364.0000000000076
142,4055.0
143,3829.0000000000027
144,1284.9999999999927
145,400.00000000001234
146,58383.99999999996
147,2532.0000000000095
148,11166.000000000004
149,732.0000000000038
150,4447.000000000013
151,1961.9999999999964
152,21919.999999999993
153,17361.999999999993
154,21091.0
155,1664.0000000000116
156,130.00000000001194
157,1330.0000000000168
158,1717.0000000000114
159,2259.0000000000027
160,1684.9999999999939
161,4161.000000000005
162,1894.9999999999982
163,4463.000000000014
164,5368.999999999993
165,2967.0000000000064
166,1007.0000000000019
167,353.0000000000028
168,15417.000000000002
169,13492.000000000002
170,4066.000000000014
171,13907.00000000001
172,30331.999999999985
173,2295.0000000000064
174,1877.00000000002
175,18714.999999999993
176,38943.999999999985
177,1663.9999999999989
178,1927.9999999999998
179,999.0000000000105
180,3262.0000000000045
181,24325.999999999993
182,1398.0000000000107
183,12996.00000000001
184,18698.999999999993
185,14652.999999999985
186,50608.99999999997
187,1477.0000000000011
188,2426.000000000004
189,5808.000000000004
190,3010.0000000000086
191,809.0000000000036
192,4172.999999999996
193,16991.000000000007
194,5176.000000000004
195,13965.00000000001
196,4592.000000000001
197,467.00000000000534
198,1481.0000000000114
199,10589.999999999998
200,11657.000000000011
201,5276.000000000002
202,3008.000000000018
203,12791.999999999993
204,1697.0000000000111
205,15542.999999999998
206,9816.000000000004
207,357.00000000000165
208,1096.0000000000045
209,21516.999999999993
210,979.0000000000041
211,57154.99999999997
212,12566.00000000001
213,3575.0000000000123
214,977.9999999999999
215,952.0000000000044
216,50381.99999999997
217,5062.000000000003
218,5459.000000000009
219,7835.000000000007
220,5009.000000000004
221,765.0000000000065
222,1399.0000000000073
223,5894.9999999999945
224,3438.000000000008
225,33235.999999999985
226,1130.0000000000068
227,5287.000000000005
228,9973.000000000004
229,11189.000000000002
230,11147.000000000004
231,435.0000000000088
232,5022.0
233,21267.999999999993
234,831.0000000000024
235,899.9999999999949
236,3659.0000000000186
237,46541.99999999997
238,11866.999999999995
239,15678.000000000005
240,51138.99999999998
241,3580.0000000000164
